file,class,type,cbo,lcom
C:\JavaProjects\logging-log4j2-2.x\logging-log4j2-2.x\log4j-core\src\main\java\org\apache\logging\log4j\core\filter\BurstFilter.java,org.apache.logging.log4j.core.filter.BurstFilter,class,13,0
C:\JavaProjects\logging-log4j2-2.x\logging-log4j2-2.x\log4j-core\src\main\java\org\apache\logging\log4j\core\async\AsyncQueueFullPolicy.java,org.apache.logging.log4j.core.async.AsyncQueueFullPolicy,interface,2,0
C:\JavaProjects\logging-log4j2-2.x\logging-log4j2-2.x\log4j-core\src\main\java\org\apache\logging\log4j\core\pattern\MessagePatternConverter.java,org.apache.logging.log4j.core.pattern.MessagePatternConverter$FormattedMessagePatternConverter,innerclass,6,0
C:\JavaProjects\logging-log4j2-2.x\logging-log4j2-2.x\log4j-core\src\main\java\org\apache\logging\log4j\core\lookup\EnvironmentLookup.java,org.apache.logging.log4j.core.lookup.EnvironmentLookup,class,3,0
C:\JavaProjects\logging-log4j2-2.x\logging-log4j2-2.x\log4j-layout-template-json-test\src\test\java\org\apache\logging\log4j\layout\template\json\util\RecyclerFactoryCustomConverter.java,org.apache.logging.log4j.layout.template.json.util.RecyclerFactoryCustomConverter,class,4,1
C:\JavaProjects\logging-log4j2-2.x\logging-log4j2-2.x\log4j-core\src\main\java\org\apache\logging\log4j\core\appender\AbstractManager.java,org.apache.logging.log4j.core.appender.AbstractManager,class,13,150
C:\JavaProjects\logging-log4j2-2.x\logging-log4j2-2.x\log4j-core-test\src\test\java\org\apache\logging\log4j\core\pattern\NoConsoleNoAnsiTest.java,org.apache.logging.log4j.core.pattern.NoConsoleNoAnsiTest,class,7,0
C:\JavaProjects\logging-log4j2-2.x\logging-log4j2-2.x\log4j-jul\src\test\java\org\apache\logging\log4j\jul\test\Log4jBridgeHandlerTest.java,org.apache.logging.log4j.jul.test.Log4jBridgeHandlerTest,class,14,155
C:\JavaProjects\logging-log4j2-2.x\logging-log4j2-2.x\log4j-core-test\src\test\java\org\apache\logging\log4j\core\config\JiraLog4j2_2134Test.java,org.apache.logging.log4j.core.config.JiraLog4j2_2134Test,class,11,10
C:\JavaProjects\logging-log4j2-2.x\logging-log4j2-2.x\log4j-layout-template-json\src\main\java\org\apache\logging\log4j\layout\template\json\util\JsonReader.java,org.apache.logging.log4j.layout.template.json.util.JsonReader,class,2,0
C:\JavaProjects\logging-log4j2-2.x\logging-log4j2-2.x\log4j-core\src\main\java\org\apache\logging\log4j\core\util\Throwables.java,org.apache.logging.log4j.core.util.Throwables,class,4,10
C:\JavaProjects\logging-log4j2-2.x\logging-log4j2-2.x\log4j-web\src\main\java\org\apache\logging\log4j\web\WebLoggerContextUtils.java,org.apache.logging.log4j.web.WebLoggerContextUtils,class,7,14
C:\JavaProjects\logging-log4j2-2.x\logging-log4j2-2.x\log4j-slf4j2-impl\src\main\java\org\apache\logging\slf4j\message\ThrowableConsumingMessageFactory.java,ThrowableConsumingMessageFactory,class,8,105
C:\JavaProjects\logging-log4j2-2.x\logging-log4j2-2.x\log4j-core-test\src\test\java\org\apache\logging\log4j\core\impl\ThreadContextDataInjectorTest.java,org.apache.logging.log4j.core.impl.ThreadContextDataInjectorTest,class,13,22
C:\JavaProjects\logging-log4j2-2.x\logging-log4j2-2.x\log4j-core-test\src\test\java\org\apache\logging\log4j\core\GcFreeSynchronousLoggingTest.java,org.apache.logging.log4j.core.GcFreeSynchronousLoggingTest,class,3,1
C:\JavaProjects\logging-log4j2-2.x\logging-log4j2-2.x\log4j-core-test\src\test\java\org\apache\logging\log4j\core\time\MutableInstantTest.java,org.apache.logging.log4j.core.time.MutableInstantTest,class,6,190
C:\JavaProjects\logging-log4j2-2.x\logging-log4j2-2.x\log4j-core-test\src\test\java\org\apache\logging\log4j\core\pattern\ThrowablePatternConverterTest.java,org.apache.logging.log4j.core.pattern.ThrowablePatternConverterTest$AbstractStackTraceTest,innerclass,12,24
C:\JavaProjects\logging-log4j2-2.x\logging-log4j2-2.x\log4j-core-test\src\test\java\org\apache\logging\log4j\core\parser\JsonLogEventParserTest.java,org.apache.logging.log4j.core.parser.JsonLogEventParserTest,class,7,0
C:\JavaProjects\logging-log4j2-2.x\logging-log4j2-2.x\log4j-core\src\main\java\org\apache\logging\log4j\core\appender\rolling\action\GzCompressAction.java,org.apache.logging.log4j.core.appender.rolling.action.GzCompressAction,class,4,0
C:\JavaProjects\logging-log4j2-2.x\logging-log4j2-2.x\log4j-core-test\src\test\java\org\apache\logging\log4j\core\appender\routing\JsonRoutingAppender2Test.java,org.apache.logging.log4j.core.appender.routing.JsonRoutingAppender2Test,class,7,0
C:\JavaProjects\logging-log4j2-2.x\logging-log4j2-2.x\log4j-core-test\src\test\java\org\apache\logging\log4j\core\appender\db\jdbc\JdbcAppenderHsqldbDataSourceTest.java,org.apache.logging.log4j.core.appender.db.jdbc.JdbcAppenderHsqldbDataSourceTest$Anonymous1,anonymous,0,0
C:\JavaProjects\logging-log4j2-2.x\logging-log4j2-2.x\log4j-core\src\main\java\org\apache\logging\log4j\core\layout\SerializedLayout.java,org.apache.logging.log4j.core.layout.SerializedLayout$PrivateObjectOutputStream,innerclass,0,1
C:\JavaProjects\logging-log4j2-2.x\logging-log4j2-2.x\log4j-core-test\src\test\java\org\apache\logging\log4j\core\appender\rolling\action\FixedCondition.java,org.apache.logging.log4j.core.appender.rolling.action.FixedCondition,class,1,1
C:\JavaProjects\logging-log4j2-2.x\logging-log4j2-2.x\log4j-jpa\src\test\java\org\apache\logging\log4j\core\appender\db\jpa\converter\ContextStackJsonAttributeConverterTest.java,org.apache.logging.log4j.core.appender.db.jpa.converter.ContextStackJsonAttributeConverterTest,class,7,0
